"mass_id","sn","dt","mg","note"
"741","171","2023-08-29 12:01:00","3870",
"742","173","2023-08-29 12:00:00","3429",
"743","173","2023-08-29 12:01:00","3771",
"744","180","2023-08-29 12:00:00","4413",
"745","180","2023-08-29 12:01:00","4781",
"746","181","2023-08-29 12:00:00","4657","forgot to pre-weigh before placing in the solution. removed "
"747","181","2023-08-29 12:01:00","4677","forgot to pre-weigh before placing in the solution. removed "
"748","186","2023-08-29 12:00:00","3430",
"749","186","2023-08-29 12:01:00","3604",
"750","192","2023-08-29 12:00:00","4595",
"751","192","2023-08-29 12:01:00","4652",
"752","193","2023-08-29 12:00:00","4038",
"753","193","2023-08-29 12:01:00","4396",
"754","195","2023-08-29 12:00:00","4273",
"755","195","2023-08-29 12:01:00","4422",
"756","202","2023-08-29 12:00:00","3657",
"757","202","2023-08-29 12:01:00","3810",
"758","204","2023-08-29 12:00:00","2580",
"759","204","2023-08-29 12:01:00","2737",
"760","205","2023-08-29 12:00:00","3884",
"761","205","2023-08-29 12:01:00","4011",
"762","206","2023-08-29 12:00:00","4218",
"763","206","2023-08-29 12:01:00","4323",
"764","207","2023-08-29 12:00:00","3030",
"765","207","2023-08-29 12:01:00","3119",
"766","214","2023-08-29 12:00:00","5402","forgot to pre-weigh before placing in the solution. removed "
"767","214","2023-08-29 12:01:00","5537","forgot to pre-weigh before placing in the solution. removed "
"768","19","2023-08-29 12:00:00","1691",
"769","19","2023-08-29 12:01:00","1983",
"770","31","2023-08-29 12:00:00","4391",
"771","31","2023-08-29 12:01:00","4533",
"772","41","2023-08-29 12:00:00","2872",
"773","41","2023-08-29 12:01:00","3120",
"774","42","2023-08-29 12:00:00","4384",
"775","42","2023-08-29 12:01:00","4621",
"776","54","2023-08-29 12:00:00","2938","laid eggs"
"777","54","2023-08-29 12:01:00","3335","laid eggs"
"778","58","2023-08-29 12:00:00","3058",
"779","58","2023-08-29 12:01:00","3409",
"780","59","2023-08-29 12:00:00","2668",
"781","59","2023-08-29 12:01:00","2935",
"782","62","2023-08-29 12:00:00","2815",
"783","62","2023-08-29 12:01:00","2998",
"784","83","2023-08-29 12:00:00","3288",
"785","83","2023-08-29 12:01:00","3666",
"786","86","2023-08-29 12:00:00","5459","forgot to pre-weigh before placing in the solution. removed "
"787","86","2023-08-29 12:01:00","5499","forgot to pre-weigh before placing in the solution. removed "
"788","92","2023-08-29 12:00:00","3746",
"789","92","2023-08-29 12:01:00","3963",
"790","105","2023-08-29 12:00:00","4976",
"791","105","2023-08-29 12:01:00","5085",
"792","110","2023-08-29 12:00:00","2870",
"793","110","2023-08-29 12:01:00","3075",
"794","119","2023-08-29 12:00:00","2948",
"795","119","2023-08-29 12:01:00","3135",
"796","120","2023-08-29 12:00:00","2559",
"797","120","2023-08-29 12:01:00","2832",
"798","121","2023-08-29 12:00:00","2415",
"799","121","2023-08-29 12:01:00","2683",
"800","126","2023-08-29 12:00:00","2945",
"801","126","2023-08-29 12:01:00","3082",
"802","127","2023-08-29 12:00:00","4840",
"803","127","2023-08-29 12:01:00","4973",
"804","128","2023-08-29 12:00:00","3123",
"805","128","2023-08-29 12:01:00","3309",
"806","129","2023-08-29 12:00:00","3034",
"807","129","2023-08-29 12:01:00","3464",
"808","134","2023-08-29 12:00:00","3592",
"809","134","2023-08-29 12:01:00","3725",
"810","136","2023-08-29 12:00:00","3799",
"811","136","2023-08-29 12:01:00","4128",
"812","144","2023-08-29 12:00:00","3214",
"813","144","2023-08-29 12:01:00","3392",
"814","147","2023-08-29 12:00:00","2641",
"815","147","2023-08-29 12:01:00","3095",
"816","149","2023-08-29 12:00:00","3706",
"817","149","2023-08-29 12:01:00","3871",
"818","150","2023-08-29 12:00:00","2616",
"819","150","2023-08-29 12:01:00","2774",
"820","151","2023-08-29 12:00:00","4846","forgot to pre-weigh before placing in the solution. removed "
"821","151","2023-08-29 12:01:00","5050","forgot to pre-weigh before placing in the solution. removed "
"822","166","2023-08-29 12:00:00","3913",
"823","166","2023-08-29 12:01:00","4083",
